num	attraction	latitude	longitude
1	National Gallery	51.508039	-0.128069
2	British Museum	51.5183664	-0.1258386
3	V&A - Victoria and Albert Museum	51.4949783	-0.1841029
4	Churchill War Rooms	51.5020865	-0.1287296
5	St. James's Park	51.5048871	-0.1270364
6	Houses of Parliament	51.5006826	-0.1274981
7	Hyde Park	51.5074317	-0.1657083
8	Borough Market	51.5055013	-0.09082259999999999
9	Tower of London	51.5095581	-0.0759519
10	Tower Bridge	51.4987929	-0.07924729999999999
11	Westminster Abbey	51.4985472	-0.1296097
12	Sky Garden	51.5111997	-0.08354099999999999
13	Natural History Museum	51.4949783	-0.1841029
14	Buckingham Palace	51.501364	-0.14189
15	St. Paul's Cathedral	51.5132942	-0.0989009
16	Camden Market	51.54150449999999	-0.1463635
17	Big Ben	51.4994794	-0.1248092
18	Covent Garden	51.5132825	-0.1234333
19	London Underground	51.49787689999999	-0.1351885
20	The View from The Shard	51.5052166	-0.08691299999999999
21	London Buses	51.49787689999999	-0.1351885
22	Coca-Cola London Eye	51.501485	-0.11864
23	Brick Lane Music Hall	51.502657	0.0428071
24	Harrods	51.4991786	-0.1629932
25	School Of Rock The Musical	51.5152673	-0.1226493
26	Up at The O2	51.503038	0.0031543
27	The All England Lawn Tennis Club	51.4342911	-0.2144883
28	Wallace Collection	51.5174543	-0.153022
29	Royal Opera House	51.5132825	-0.1234333
30	City of London Distillery	51.5138967	-0.1050804
31	Wigmore Hall	51.5166232	-0.1482304
32	Old Royal Naval College	51.4827098	-0.0085177
33	The Courtauld Gallery	51.511059	-0.117148
34	Regent's Park	51.52828239999999	-0.1498389
35	Two Temple Place	51.51161519999999	-0.1123609
36	Abraham Lincoln: The Man	51.5005396	-0.1275137
37	The Charterhouse	51.5212952	-0.1000121
38	Hampstead Heath	51.57159919999999	-0.1721959
39	Sipsmith Distillery	51.4906976	-0.2521554
40	The Magic Circle	51.526477	-0.1351002
41	Highgate Cemetery	51.5684694	-0.1471685
42	Bomber Command Memorial	51.5072682	-0.1657303
43	Greenwich Park	51.4769095	0.0014643
44	Gods Own Junkyard	51.5840695	-0.008341699999999999
45	New London Theatre	51.5152673	-0.1226493
46	Westminster	51.495572	-0.132193
47	Kensington Gardens	51.5132069	-0.1807816
