num	attraction	duration	hours	description
1	National Gallery	Suggested Duration: 2-3 hours	Closed Now Fri10:00 AM - 9:00 PMSat - Thu10:00 AM - 6:00 PMHours Hours Today: 10:00 AM - 6:00 PM	The National Gallery houses the national collection of paintings in the Western European tradition from the 13th to the 19th centuries. It is on show 361 days a year, free of charge.
2	Churchill War Rooms	"missing"	Closed Now Sun - Sat9:30 AM - 6:00 PMHours Hours Today: 9:30 AM - 6:00 PM	The underground headquarters of the British High Command served as the nerve center of Britain's war effort during World War II.
3	Houses of Parliament	"missing"	"missing"	Most of this iconic building was built in the mid-19th century following a devastating fire in 1834. Westminster Hall survived the fire and dates from 1097. Visitors can book tours through the House of Commons and the House of Lords, and are welcome to watch debates and committees when the Houses are sitting..
4	Tower of London	Suggested Duration: 2-3 hours	Closed Now Sun - Mon10:00 AM - 4:30 PMTue - Sat9:00 AM - 4:30 PMHours Hours Today: 9:00 AM - 4:30 PM	One of London's most famous landmarks, the historic Tower houses the Crown Jewels, the prison cell of Sir Walter Raleigh, known as the Bloody Tower, and the Chapel of St. John and the Royal Armories.
5	Westminster Abbey	Suggested Duration: 1-2 hours	Closed Now Mon - Tue9:30 AM - 3:30 PMWed9:30 AM - 6:00 PMThu - Sat9:30 AM - 3:30 PMHours Hours Today: 9:30 AM - 3:30 PM	Westminster Abbey was initially built by Henry III in 1245 and it is one of the most important Gothic buildings of England. At first home of Benedictine monks, the coronation church since 1066 and the final resting place of 17 monarchs. It contains a treasury full of paintings, stained glass, pavements, textiles, various other artifacts and books plus the most significant collection of monumental sculptures of the UK..
6	Sky Garden	Suggested Duration: < 1 hour	Closed Now Mon - Fri10:00 AM - 6:00 PMSat - Sun11:00 AM - 9:00 PMHours Hours Today: 10:00 AM - 6:00 PM	The famous enlarged glass dome of 20 Fenchurch Street is dedicated to three storeys of exquisitely landscaped public gardens and London's most exclusive social spaces, including observation decks and an open air terrace. Sky Garden also houses restaurants Darwin Brasserie, Fenchurch Seafood Bar & Grill and Sky Pod Bar.
7	Buckingham Palace	Suggested Duration: 2-3 hours	"missing"	Buckingham Palace serves as both the office and London residence of Her Majesty The Queen. It is one of the few working royal palaces remaining in the world today. During a visit to Buckingham Palace, visitors can see the nineteen magnificent State Rooms, which provide the setting for ceremonial occasions and official entertaining. All rooms are furnished with many of the greatest treasures from the Royal Collection. A visit also includes entry to the special exhibition, A Royal Welcome.
8	Camden Market	Suggested Duration: More than 3 hours	Closed Now Sun - Sat10:00 AM - 6:00 PMHours Hours Today: 10:00 AM - 6:00 PM	We're driven by the belief that you can only keep discovering if you keep looking ... so we're always adding interesting stores and traders. No two days are ever the same at Camden Market. Keep checking back to see what's new and what's next.
9	Big Ben	Suggested Duration: < 1 hour	Closed Now Sun - Sat8:00 AM - 8:00 PMHours Hours Today: 8:00 AM - 8:00 PM	"Temporarily Closed
Elizabeth Tower is the name of the famous clock tower which stands at the Houses of Parliament. The name Big Ben is often used to describe the tower, the clock and the bell but the name was first given to the Great Bell.
The Elizabeth Tower was completed in 1859 and the Great Clock started on 31 May. The Great Bell''s strikes were heard for the first time on 11 July and the quarter bells first chimed on 7 September.
All visits to Big Ben and the Elizabeth Tower tours are now suspended due to refurbishment with the last tour having taken place on 16 December 2016. Tours are scheduled to resume in early 2020 once the work is complete.
Visitors can still book tickets for a number of other tours at the Houses of Parliament which take place on Saturdays throughout the year and on weekdays during Parliamentary recesses."
10	London Underground	"missing"	"missing"	London Underground, better known as the Tube, has 11 lines covering 402km and serving 270 stations. Opened in 1863, it is the world's oldest underground railway network, and one of the largest.
11	London Buses	"missing"	Open Now Sun - Sat12:00 AM - 11:59 PMHours Hours Today: 12:00 AM - 11:59 PM	One of the largest bus networks in the world, with around 8,500 vehicles in the fleet, 50 bus stations and 19,500 bus stops.
12	Brick Lane Music Hall	"missing"	Closed Now Mon - Fri10:00 AM - 5:00 PMHours Hours Today: 10:00 AM - 5:00 PM	"Theatre and dining venue based in London''s Docklands, offering a modern take on traditional music hall-style entertainment. Groups and parties welcome. Attracts a younger crowd in the evenings; lunches and '"pensioner matinees'" available all year round (closed for August). UK Coach award for '"Britain''s Friendliest Venue'"."
13	School Of Rock The Musical	Suggested Duration: 1-2 hours	"missing"	"missing"
14	Up at The O2	"missing"	Closed Now Sun - Sat10:00 AM - 8:30 PMHours Hours Today: 10:00 AM - 8:30 PM	Get ready for a breathtaking new attraction, combining an exhilarating active outdoor challenge with a completely unique perspective on the Capital.Prepare yourself for an unforgettable 90 minute experience which will take you on an uplifting expedition across the roof of the world's most popular entertainment venue. Enjoy spectacular 360 degree views of London from our viewing platform in the centre of the roof, before finishing with a thrilling descent back to base to complete your adventure.
15	The All England Lawn Tennis Club	"missing"	"missing"	"missing"
