num	attraction	ranking	rating	review_num	address	street	locality	category	phone	duration	hours	neighborhood	description	tags	languages	sitelink
1	National Gallery	#1	4.5	32,782	Trafalgar Square, London WC2N 5DN, England	Trafalgar Square	London WC2N 5DN, 	 Art Museums, Museums	+44 20 7747 2885	"missing"	"missing"	Trafalgar Square / Embankment	"missing"	trafalgar square; van gogh; famous paintings; da vinci; sainsbury wing; art lovers; love art; great art; works of art; free admission; amazing collection; on display; audio guide; few hours; beautiful building; rainy day; couple of hours	English (18,896); Italian (4,740); Spanish (2,712); Portuguese (2,162); French (1,646); Japanese (645); Russian (560); German (402); Dutch (210); Korean (180); Chinese (Sim.) (146); Chinese (Trad.) (141); Polish (121); Swedish (86); Greek (73); Turkish (53); Danish (48); Hebrew (48); Norwegian (31); Czech (22); Finnish (13); Indonesian (10); Hungarian (9); Arabic (7); Thai (7); Slovak (3); Serbian (1)	/Attraction_Review-g186338-d188862-Reviews-National_Gallery-London_England.html
2	British Museum	#2	4.5 	60,798	Great Russell Street, London WC1B 3DG, England	Great Russell Street	London WC1B 3DG, 	 Art Museums, History Museums, Museums	+44 20 7323 8299	Suggested Duration: 2-3 hours	Closed Now Fri10:00 AM - 8:30 PMSat - Thu10:00 AM - 5:30 PMHours Hours Today: 10:00 AM - 8:30 PM	Bloomsbury	A museum of the world, for the world. Discover over two million years of human history and culture. Some of the world-famous objects include the Rosetta Stone, the Parthenon sculptures and Egyptian mummies.	rosetta stone; elgin marbles; egyptian mummies; ancient egypt; sutton hoo; amazing collection; few hours; free entry; on display; rainy day; couple of hours; audio guide; beautiful building; artifacts; bm; civilizations; pantheon	English (35,510); Spanish (7,374); Italian (6,086); French (3,598); Portuguese (3,286); Japanese (1,148); German (701); Russian (519); Dutch (462); Chinese (Sim.) (441); Chinese (Trad.) (416); Korean (293); Greek (288); Swedish (263); Polish (176); Turkish (147); Norwegian (141); Danish (128); Hebrew (85); Finnish (43); Czech (38); Hungarian (38); Arabic (24); Thai (20); Indonesian (11); Slovak (7); Serbian (5)	/Attraction_Review-g186338-d187555-Reviews-British_Museum-London_England.html
3	V&A - Victoria and Albert Museum	#4	4.5 	26,364	Cromwell Road, London SW7 2RL, England	Cromwell Road	London SW7 2RL, 	 Art Museums, Museums	+44 20 7942 2000	Suggested Duration: 2-3 hours	Closed Now Fri10:00 AM - 10:00 PMSat - Thu10:00 AM - 5:45 PMHours Hours Today: 10:00 AM - 10:00 PM	Knightsbridge	The world's greatest museum of art and design.The V&A's collections are unrivalled in their diversity. Explore historical and contemporary art and design, including works of art from many of the world's richest cultures. Admission free.	pink floyd; alexander mcqueen; decorative arts; on display; beautiful building; few hours; free entry; rainy day; exhibits; galleries; revolution; costumes; culture; shoes; clothing; donation; interests	English (20,440); Portuguese (1,255); Spanish (1,125); Italian (1,124); French (787); Japanese (369); Russian (311); German (268); Dutch (157); Chinese (Sim.) (132); Chinese (Trad.) (132); Swedish (88); Korean (83); Danish (52); Turkish (50); Polish (46); Greek (35); Hebrew (29); Norwegian (27); Finnish (14); Indonesian (9); Arabic (7); Thai (7); Czech (4); Hungarian (1); Slovak (1)	/Attraction_Review-g186338-d187556-Reviews-V_A_Victoria_and_Albert_Museum-London_England.html
4	Churchill War Rooms	#3	4.5	18,048	Clive Steps | King Charles Street, London SW1A 2AQ, England	Clive Steps	London SW1A 2AQ, 	 Historic Sites, History Museums, Military Museums, Museums, Sights & Landmarks, More 	+44 20 7930 6961	"missing"	"missing"	Westminster	"missing"	map room; underground bunker; audio guide; history buff; his life; great man; prime minister; step back in time; interactive displays; great insight; own pace; london pass; two hours; couple of hours; great museum; well worth the visit; ww2	English (15,570); French (505); Spanish (501); Portuguese (472); Italian (416); German (140); Chinese (Sim.) (91); Chinese (Trad.) (91); Dutch (88); Swedish (87); Danish (50); Norwegian (47); Russian (47); Japanese (36); Hebrew (27); Korean (10); Greek (7); Polish (7); Czech (6); Finnish (6); Arabic (5); Turkish (5); Indonesian (2); Hungarian (1); Serbian (1); Thai (1)	/Attraction_Review-g186338-d194299-Reviews-Churchill_War_Rooms-London_England.html
5	St. James's Park	#5	4.5 	15,318	Horse Guards Road | The Storeyard, London SW1A 2BJ, England	Horse Guards Road	London SW1A 2BJ, 	 Nature & Parks	+44 300 061 2350	Suggested Duration: 1-2 hours	Closed Now Sun - Sat5:00 AM - 12:00 AMHours Hours Today: 5:00 AM - 12:00 AM	Westminster	This 90-acre park, the oldest Royal Park in London, features a large lake that is a wildlife sanctuary for ducks, geese, swans and even pelicans.	buckingham palace; horse guards parade; bird life; friendly squirrels; flower beds; beautiful flowers; lovely walk; sunny day; trafalgar square; churchill war rooms; london eye; big ben; ducks; wildlife; stroll; picnic; trees	English (8,324); Italian (1,772); French (1,416); Spanish (1,319); Portuguese (1,069); German (329); Russian (203); Japanese (183); Dutch (162); Chinese (Sim.) (117); Chinese (Trad.) (117); Korean (95); Swedish (73); Danish (59); Polish (58); Greek (45); Norwegian (35); Turkish (33); Hebrew (30); Czech (24); Hungarian (12); Arabic (10); Finnish (9); Indonesian (6); Thai (6); Slovak (5)	/Attraction_Review-g186338-d188126-Reviews-St_James_s_Park-London_England.html
6	Houses of Parliament	#6	4.5	14,318	Parliament Square, London SW1A 0AA, England	Parliament Square	London SW1A 0AA, 	 Architectural Buildings, Government Buildings, Historic Sites, Sights & Landmarks, More 	+44 20 7219 4114	"missing"	"missing"	Westminster	"missing"	guided tour; westminster hall; local mp; big ben; robing room; public gallery; central lobby; british government; beautiful building; steeped in history; own pace; afternoon tea; excellent tour; london eye; commons; lords; politics	English (9,288); Portuguese (1,586); Italian (1,120); Spanish (749); French (464); German (268); Russian (224); Japanese (214); Chinese (Sim.) (116); Chinese (Trad.) (112); Korean (68); Dutch (64); Polish (42); Turkish (30); Danish (29); Swedish (29); Greek (27); Arabic (14); Czech (13); Norwegian (12); Indonesian (9); Hebrew (7); Slovak (7); Thai (6); Finnish (5); Hungarian (3); Serbian (3)	/Attraction_Review-g186338-d211708-Reviews-Houses_of_Parliament-London_England.html
7	Hyde Park	#7	4.5 	17,238	London W2 2UH, England	"missing"	London W2 2UH, 	 Nature & Parks	+44 300 061 2000	"missing"	Closed Now Sun - Sat5:00 AM - 12:00 AMHours Hours Today: 5:00 AM - 12:00 AM	Kensington and Hyde Park	Once the hunting ground for Henry VIII, this large royal park is best known for its famous Speakers' Corner, where people speak their minds, Rotton Row, a famous horse-riding area and Serpentine Lake, home to waterfowl and oarsmen.	winter wonderland; speakers corner; serpentine lake; kensington palace; diana memorial; peter pan statue; marble arch; green space; sunny day; lovely walk; walk around; oxford street; picnic; squirrels; stroll; trees; jog	English (8,946); Italian (1,792); Spanish (1,773); Portuguese (1,560); French (1,127); German (404); Russian (275); Japanese (222); Dutch (219); Swedish (190); Chinese (Sim.) (148); Chinese (Trad.) (147); Turkish (90); Norwegian (87); Danish (81); Korean (79); Arabic (74); Greek (71); Polish (34); Czech (30); Hebrew (27); Finnish (22); Hungarian (11); Indonesian (11); Thai (7); Slovak (5); Serbian (2); Vietnamese (1)	/Attraction_Review-g186338-d189030-Reviews-Hyde_Park-London_England.html
8	Borough Market	#8	4.5 	10,454	8 Southwark Street, London SE1 1TL, England	8 Southwark Street	London SE1 1TL, 	 Flea & Street Markets, Shopping	+44 20 7407 1002	"missing"	Closed Now Mon - Thu10:00 AM - 5:00 PMFri10:00 AM - 6:00 PMSat8:00 AM - 5:00 PMHours Hours Today: 10:00 AM - 6:00 PM	Southwark	An amazing food market dating back to the 13th century.	foodie heaven; food market; free samples; monmouth coffee; food heaven; great market; fruit and veg; london bridge tube station; stalls selling; stall holders; oysters; scotch egg; mulled wine; south bank; walk around; vendors; ethiopian	English (7,319); Italian (751); Spanish (559); Portuguese (472); French (387); German (295); Japanese (157); Dutch (148); Chinese (Sim.) (124); Chinese (Trad.) (124); Swedish (61); Russian (58); Korean (52); Danish (39); Hebrew (18); Greek (17); Turkish (17); Norwegian (16); Polish (14); Czech (9); Finnish (6); Arabic (5); Hungarian (5); Indonesian (1); Serbian (1); Thai (1)	/Attraction_Review-g186338-d260500-Reviews-Borough_Market-London_England.html
9	Tower of London	#9	4.5	53,387	 | Tower Hill, London EC3N 4AB, England	"missing"	London EC3N 4AB, 	 Historic Sites, Points of Interest & Landmarks, Sights & Landmarks	+44 20 3166 6000	"missing"	"missing"	City of London	"missing"	beefeater tour; crown jewels are; yeoman warder; anne boleyn; guided tour; english history; lots of history; amazing history; steeped in history; free tour; london pass; beefeaters; ravens; poppies; crowns; moat; prisoners	English (37,674); Spanish (3,697); Italian (3,340); Portuguese (2,551); French (2,500); German (1,191); Russian (547); Dutch (431); Japanese (426); Swedish (210); Chinese (Sim.) (189); Chinese (Trad.) (185); Danish (164); Norwegian (100); Polish (92); Korean (87); Greek (59); Hebrew (51); Turkish (36); Czech (34); Finnish (27); Arabic (18); Hungarian (16); Indonesian (10); Thai (10); Serbian (3); Slovak (3)	/Attraction_Review-g186338-d187547-Reviews-Tower_of_London-London_England.html
10	Tower Bridge	#10	4.5 	30,068	Tower Bridge Road, London SE1 2UP, England	Tower Bridge Road	London SE1 2UP, 	 Bridges, Observation Decks & Towers, Points of Interest & Landmarks, Sights & Landmarks, More 	+44 20 7403 3761	Suggested Duration: 1-2 hours	Closed Now Sun - Sat10:00 AM - 5:30 PMHours Hours Today: 10:00 AM - 5:30 PM	"missing"	An iconic London landmark and one of Britain's best loved historic sites, Tower Bridge is open to the public 363 days a year. Within the Bridge's iconic structure and magnificent Victorian Engine rooms, the Tower Bridge Exhibition is the best way of exploring the most famous bridge in the world! Come learn about this incredible feat of Victorian engineering, discover how the Bridge is raised and enjoy stunning panoramic views across London from our high-level walkways, 42 metres above the River Thames. Opening Times: 10:00 - 17:30(last admission )	glass floor; engine room; iconic landmark; both sides; london pass; london eye; engineering; machinery; photos; workings; exhibition; structure; ships; symbol; victorian; shard	English (14,961); Italian (3,484); Spanish (3,275); Portuguese (2,628); French (2,220); German (1,036); Dutch (421); Japanese (419); Russian (346); Korean (225); Chinese (Sim.) (205); Chinese (Trad.) (202); Swedish (147); Polish (143); Danish (115); Greek (111); Turkish (80); Norwegian (57); Hebrew (54); Czech (53); Arabic (28); Finnish (28); Hungarian (23); Indonesian (16); Thai (16); Slovak (15); Serbian (4)	/Attraction_Review-g186338-d187552-Reviews-Tower_Bridge-London_England.html
